STATION,DATE,TEMP,PRCP,WIND,VISIBILITY,CEILING,Year,Month,Day,Season,WeatherCondition,Airport,IATA,Name,City,State
USW00013874,2023-06-29,81.4,0.024,3.4,10.0,31952,2023,6,29,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-06-30,74.7,0.108,26.0,8.9,22036,2023,6,30,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-01,77.9,0.084,8.3,9.3,19123,2023,7,1,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-02,78.3,0.012,12.5,5.8,18318,2023,7,2,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-03,88.6,0.072,6.5,7.6,25601,2023,7,3,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-04,68.3,0.276,11.2,6.4,22323,2023,7,4,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-05,73.7,0.504,6.8,9.5,19785,2023,7,5,Summer,Severe,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-06,89.1,0.132,6.0,9.3,12994,2023,7,6,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-07,78.6,0.036,6.9,10.0,7783,2023,7,7,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-08,84.4,0.072,12.2,9.0,5030,2023,7,8,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-09,77.2,0.048,8.6,10.0,37772,2023,7,9,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-10,84.9,0.252,11.2,5.8,13094,2023,7,10,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-11,77.0,0.036,1.1,10.0,19970,2023,7,11,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-12,55.5,0.072,17.8,4.7,15101,2023,7,12,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-13,74.8,0.06,8.0,5.7,38795,2023,7,13,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-14,77.0,0.072,15.6,9.3,20639,2023,7,14,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-15,69.1,0.0,8.0,9.5,25441,2023,7,15,Summer,Clear,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-16,92.0,0.06,10.3,7.7,28112,2023,7,16,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-17,81.0,0.204,8.7,6.8,4526,2023,7,17,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-18,84.5,0.012,0.7,2.9,17854,2023,7,18,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-19,82.6,0.048,5.9,10.0,19403,2023,7,19,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-20,75.6,0.384,10.8,4.3,12002,2023,7,20,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-21,89.5,0.108,5.3,3.8,10844,2023,7,21,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-22,80.8,0.012,8.6,8.0,10654,2023,7,22,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-23,81.4,0.24,17.6,9.0,42199,2023,7,23,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-24,67.2,0.18,6.3,9.6,22849,2023,7,24,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-25,87.5,0.12,8.9,10.0,10590,2023,7,25,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-26,83.8,0.096,17.3,6.4,29221,2023,7,26,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-27,92.4,0.264,14.4,7.2,11208,2023,7,27,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-28,86.3,0.312,16.6,10.0,32422,2023,7,28,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-29,82.2,0.156,4.0,8.0,2253,2023,7,29,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-30,53.5,0.084,10.0,4.9,6924,2023,7,30,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-07-31,87.8,0.084,11.0,9.7,9731,2023,7,31,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-01,81.6,0.204,4.1,7.5,14889,2023,8,1,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-02,87.7,0.3,1.7,10.0,41186,2023,8,2,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-03,88.4,0.024,0.8,7.4,7637,2023,8,3,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-04,68.1,0.072,25.7,10.0,9709,2023,8,4,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-05,82.1,0.024,8.1,9.8,34508,2023,8,5,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-06,96.8,0.48,12.3,8.7,13776,2023,8,6,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-07,94.5,0.096,7.8,10.0,37,2023,8,7,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-08,75.2,0.024,20.6,7.2,23175,2023,8,8,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-09,97.0,0.024,20.4,5.6,20588,2023,8,9,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-10,88.2,0.012,43.2,10.0,42965,2023,8,10,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-11,80.3,0.4559999999999999,10.5,5.4,18799,2023,8,11,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-12,76.8,0.012,5.8,8.4,22170,2023,8,12,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-13,94.2,0.024,9.4,9.4,22431,2023,8,13,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-14,78.6,0.18,16.6,8.2,32593,2023,8,14,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-15,72.2,0.24,16.9,5.5,25390,2023,8,15,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-16,62.7,0.012,15.4,5.7,39972,2023,8,16,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-17,92.7,0.06,6.5,7.3,33136,2023,8,17,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-18,79.4,0.216,6.5,7.4,30347,2023,8,18,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-19,86.1,0.072,6.4,4.2,13063,2023,8,19,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-20,76.9,0.192,2.6,6.0,20759,2023,8,20,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-21,81.3,0.18,6.7,9.8,10131,2023,8,21,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-22,77.9,0.204,11.2,8.4,28050,2023,8,22,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-23,76.5,0.24,14.0,8.3,9513,2023,8,23,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-24,87.7,0.24,6.3,10.0,40734,2023,8,24,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-25,66.0,0.036,0.9,8.2,34981,2023,8,25,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-26,108.5,0.06,13.7,7.9,25570,2023,8,26,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-27,77.7,0.072,22.2,2.0,19252,2023,8,27,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-28,72.3,0.012,3.7,5.0,7198,2023,8,28,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-29,73.0,0.072,12.3,10.0,22071,2023,8,29,Summer,Mild,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-30,72.9,0.336,18.9,7.2,19852,2023,8,30,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00013874,2023-08-31,86.3,0.108,5.5,8.4,30848,2023,8,31,Summer,Moderate,ATL,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
USW00023174,2023-06-01,89.5,0.024,7.7,5.7,20301,2023,6,1,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-02,87.2,0.264,13.0,10.0,5446,2023,6,2,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-03,81.0,0.156,2.2,10.0,21767,2023,6,3,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-04,76.3,0.012,3.0,8.6,24227,2023,6,4,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-05,68.9,0.0,10.8,7.6,13283,2023,6,5,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-06,83.3,0.036,2.3,7.8,24773,2023,6,6,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-07,72.1,0.072,7.5,5.9,16263,2023,6,7,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-08,76.8,0.192,10.3,6.7,12412,2023,6,8,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-09,73.6,0.096,2.7,10.0,33530,2023,6,9,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-10,80.5,0.12,1.8,4.3,9885,2023,6,10,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-11,73.6,0.192,1.4,7.6,6641,2023,6,11,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-12,85.7,0.108,10.6,6.9,21376,2023,6,12,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-13,86.2,0.108,4.0,10.0,10274,2023,6,13,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-14,64.6,0.108,24.8,10.0,22348,2023,6,14,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-15,77.8,0.408,11.6,8.7,8923,2023,6,15,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-16,78.3,0.192,5.6,8.7,21260,2023,6,16,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-17,78.3,0.048,3.3,4.5,25203,2023,6,17,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-18,81.6,0.132,10.1,7.2,22042,2023,6,18,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-19,96.3,0.348,4.4,6.9,24780,2023,6,19,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-20,69.5,0.0,2.2,2.5,26635,2023,6,20,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-21,68.8,0.144,4.5,5.9,13979,2023,6,21,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-22,79.4,0.012,9.5,7.1,29220,2023,6,22,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-23,67.1,0.096,8.4,7.6,6697,2023,6,23,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-24,73.6,0.18,11.9,8.6,15074,2023,6,24,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-25,97.9,0.12,0.9,6.3,29331,2023,6,25,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-26,96.3,0.036,13.4,6.9,27872,2023,6,26,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-27,72.4,0.012,13.9,10.0,23482,2023,6,27,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-28,83.8,0.12,2.3,3.4,10629,2023,6,28,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-29,69.5,0.4559999999999999,19.7,5.5,10357,2023,6,29,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-06-30,96.7,0.108,13.0,10.0,13857,2023,6,30,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-01,81.3,0.096,5.4,7.9,26754,2023,7,1,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-02,78.4,0.024,6.2,4.4,16131,2023,7,2,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-03,75.6,0.036,18.0,7.3,21792,2023,7,3,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-04,68.8,0.024,0.7,7.6,27101,2023,7,4,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-05,82.0,0.084,7.8,5.8,10966,2023,7,5,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-06,78.0,0.24,6.1,10.0,12233,2023,7,6,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-07,79.3,0.012,6.4,10.0,24015,2023,7,7,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-08,81.2,0.036,5.1,10.0,11582,2023,7,8,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-09,82.4,0.06,8.6,6.1,30050,2023,7,9,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-10,85.7,0.084,14.3,10.0,26881,2023,7,10,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-11,100.5,0.072,10.9,5.8,25269,2023,7,11,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-12,66.1,0.024,1.8,7.3,21242,2023,7,12,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-13,71.0,0.072,5.7,9.8,7682,2023,7,13,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-14,80.0,0.24,7.1,5.3,52,2023,7,14,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-15,92.3,0.036,29.7,9.0,25383,2023,7,15,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-16,77.4,0.252,4.8,6.0,22518,2023,7,16,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-17,84.8,0.504,8.8,4.9,14170,2023,7,17,Summer,Severe,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-18,75.7,0.084,7.9,8.2,32925,2023,7,18,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-19,85.6,0.072,3.0,6.4,17825,2023,7,19,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-20,89.0,0.024,6.8,10.0,24107,2023,7,20,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-21,74.4,0.12,3.0,4.0,17584,2023,7,21,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-22,93.3,0.024,5.0,9.0,16468,2023,7,22,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-23,96.2,0.12,17.0,10.0,24211,2023,7,23,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-24,84.0,0.336,8.2,5.6,28352,2023,7,24,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-25,80.9,0.168,15.7,6.3,23561,2023,7,25,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-26,82.3,0.036,23.8,9.8,21453,2023,7,26,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-27,75.2,0.204,5.1,7.2,29483,2023,7,27,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-28,69.8,0.048,4.5,8.1,2229,2023,7,28,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-29,91.6,0.048,13.8,9.0,51536,2023,7,29,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-30,101.2,0.012,25.6,9.3,15777,2023,7,30,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-07-31,51.8,0.2279999999999999,6.3,10.0,-3606,2023,7,31,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-01,76.1,0.192,10.7,10.0,24517,2023,8,1,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-02,88.6,0.012,18.7,5.3,18868,2023,8,2,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-03,70.9,0.36,3.3,5.5,16566,2023,8,3,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-04,81.6,0.084,5.8,10.0,13835,2023,8,4,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-05,82.6,0.276,19.1,4.1,16034,2023,8,5,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-06,64.2,0.024,13.9,6.4,28619,2023,8,6,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-07,84.1,0.18,4.0,4.0,19492,2023,8,7,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-08,77.5,0.06,25.9,8.8,25317,2023,8,8,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-09,82.0,0.0,8.6,10.0,21348,2023,8,9,Summer,Clear,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-10,85.4,0.012,6.3,9.7,32888,2023,8,10,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-11,69.9,0.036,3.2,6.5,14900,2023,8,11,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-12,82.1,0.048,6.7,10.0,15073,2023,8,12,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-13,84.3,0.216,17.2,10.0,37741,2023,8,13,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-14,82.3,0.012,2.5,6.3,22821,2023,8,14,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-15,67.4,0.048,13.6,6.4,26144,2023,8,15,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-16,86.1,0.0,15.5,10.0,18171,2023,8,16,Summer,Mild,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
USW00023174,2023-08-17,77.5,0.144,12.1,8.6,27014,2023,8,17,Summer,Moderate,LAX,LAX,Los Angeles International Airport,Los Angeles,CA
